Date,Open,High,Low,Close,Adj Close,Volume
18/12/2020,236.699997,236.949997,225.800003,227.649994,227.649994,23402281
21/12/2020,226.050003,228,202,206.550003,206.550003,27017949
22/12/2020,208.199997,211,197.75,208.449997,208.449997,26497524
23/12/2020,209,223.350006,207.199997,221.199997,221.199997,23305087
24/12/2020,223,225.75,218.699997,220.350006,220.350006,15688836
28/12/2020,223,230,221.850006,229.100006,229.100006,13713702
29/12/2020,231,237.399994,228.149994,232.800003,232.800003,21325726
30/12/2020,232.899994,234,228.100006,232.5,232.5,11720240
31/12/2020,231,233.100006,229.5,231.050003,231.050003,7482183
01/01/2021,231.100006,233.149994,230.5,231.050003,231.050003,5041873
04/01/2021,233.300003,240.899994,231.600006,239.600006,239.600006,17569997
05/01/2021,237.949997,252,236.600006,250.850006,250.850006,34140600
06/01/2021,252.949997,270.549988,252.050003,264.200012,264.200012,49424461
07/01/2021,266.850006,273,263.100006,269.299988,269.299988,19675319
08/01/2021,272.049988,274.299988,263.850006,265.049988,265.049988,12634258
11/01/2021,266.75,267,254.899994,255.949997,255.949997,12932516
12/01/2021,253,263.100006,249.699997,257.5,257.5,14059128
13/01/2021,258.350006,263.600006,247.199997,254.399994,254.399994,17572485
14/01/2021,256.299988,258.950012,253.050003,254.199997,254.199997,9763818
15/01/2021,254,259.75,251.550003,253.899994,253.899994,13958474
18/01/2021,251.75,253,242.800003,244.399994,244.399994,11730430
19/01/2021,248.100006,255.050003,245.5,254.25,254.25,9180912
20/01/2021,256.399994,257.850006,252,253.75,253.75,9068806
21/01/2021,254.25,265.600006,248.25,250.550003,250.550003,19491404
22/01/2021,250,250.649994,228.75,232.800003,232.800003,25846533
25/01/2021,236.850006,240,218.100006,222.75,222.75,23771720
27/01/2021,224,227.100006,217.350006,218.649994,218.649994,20026659
28/01/2021,213.600006,220.5,209.199997,215.050003,215.050003,22628038
29/01/2021,219.949997,231.25,212.5,213.800003,213.800003,37026300
01/02/2021,215.949997,244.850006,212.300003,236.850006,236.850006,29981324
02/02/2021,242.100006,249.350006,238,242.399994,242.399994,29105457
03/02/2021,243.899994,262.399994,239,256.549988,256.549988,35216299
04/02/2021,253.949997,258.950012,251,257.299988,257.299988,18416736
05/02/2021,259,268.799988,248.800003,251.100006,251.100006,29235565
08/02/2021,254,257.950012,246,247.399994,247.399994,12412595
09/02/2021,248.5,250.850006,243.25,246.350006,246.350006,12309755
10/02/2021,246.350006,248.800003,239.300003,243.050003,243.050003,15882144
11/02/2021,243.050003,246.25,241.100006,243.800003,243.800003,9300430
12/02/2021,244.199997,247.399994,240.100006,241.449997,241.449997,16784618
15/02/2021,244,256.450012,243.300003,254,254,16898930
16/02/2021,255.699997,262,249.449997,258.5,258.5,22630711
17/02/2021,257.600006,258.350006,251.199997,253.149994,253.149994,11880397
18/02/2021,254,256.899994,249,250.149994,250.149994,10919837
19/02/2021,250,259.899994,243.25,246.25,246.25,20676117
22/02/2021,246.899994,248.050003,233.800003,236.5,236.5,13378881
23/02/2021,238.600006,239.350006,231.300003,236.050003,236.050003,13036265
24/02/2021,237,249,230.050003,246.550003,246.550003,11200680
25/02/2021,250.25,256.799988,247.100006,248.949997,248.949997,19598751
26/02/2021,238.399994,241.850006,234.199997,235.600006,235.600006,22815361
01/03/2021,239,239.699997,232.050003,236.050003,236.050003,14473106
02/03/2021,237,241,233.800003,236.75,236.75,11756320
03/03/2021,238.899994,251,238,248.949997,248.949997,19666574
04/03/2021,243.800003,254.149994,241.050003,249.350006,249.350006,16439825
05/03/2021,248,248,238.300003,242.350006,242.350006,13885483
08/03/2021,244.75,249.5,243.100006,244.300003,244.300003,7687041
09/03/2021,246.699997,253.699997,242.050003,245.449997,245.449997,18766370
10/03/2021,248.649994,249.050003,239.5,241.899994,241.899994,13512341
12/03/2021,245,249.25,241.600006,243.100006,243.100006,11277623
15/03/2021,243.550003,244,230.800003,238.25,238.25,15693935
16/03/2021,239.899994,240.25,233.550003,235.100006,235.100006,9124566
17/03/2021,235,236.300003,222,223.399994,223.399994,16440990
18/03/2021,227.300003,229.5,217.25,222.949997,222.949997,11280094
19/03/2021,220.25,229.5,214.399994,228.550003,228.550003,19513845
22/03/2021,228.100006,230.600006,223.100006,225.25,225.25,11332389
23/03/2021,226,231,224.100006,226.800003,226.800003,11435932
24/03/2021,224.850006,225.449997,215,215.899994,215.899994,13757546
25/03/2021,217,217,203.75,210.050003,210.050003,18673108
26/03/2021,213.899994,215.399994,210.149994,211.100006,211.100006,10330808
